,Open,GBM_lower_bound,GBM_upper_bound,Year,Month,Day,Close
30,22720.25,22514.441342206792,22973.858420687742,2024,4,10,22753.80
31,22765.1,22555.315390793934,23016.88351860498,2024,4,9,22642.75
32,22578.35,22367.915151826626,22808.788699251727,2024,4,8,22666.30
33,22486.4,22271.225341194542,22728.5506557592,2024,4,5,22513.70
34,22592.1,22366.344072653974,22811.56901266145,2024,4,4,22514.65
35,22385.7,22171.605376024214,22616.817936079573,2024,4,3,22434.65
36,22458.8,22250.47131999797,22699.205418421083,2024,4,2,22453.30
37,22455.0,22286.33179928624,22706.660324250297,2024,4,1,22462.00
38,22163.6,21934.582567190308,22381.951568139335,2024,3,28,22326.90
39,22053.95,21856.26035950486,22278.27245517684,2024,3,27,22123.65
40,21947.9,21732.652720203758,22172.598061804798,2024,3,26,22004.70
41,21932.2,21744.783479023623,22173.91424582729,2024,3,22,22096.75
42,21989.9,21787.327973010564,22232.02539596813,2024,3,21,22011.95
43,21843.9,21641.624233111634,22073.51127211904,2024,3,20,21839.10
44,21946.45,21729.63219965539,22160.388902541494,2024,3,19,21817.45
45,21990.1,21781.335448427984,22212.078360320764,2024,3,18,22055.70
46,22064.85,21844.71262266728,22270.29250936782,2024,3,15,22023.35
47,21982.55,21752.01799585845,22198.602775911415,2024,3,14,22146.65
48,22432.2,22194.705577420285,22642.10244053833,2024,3,13,21997.70
49,22334.45,22128.712829791555,22558.296899360757,2024,3,12,22335.70
50,22517.5,22334.468087870384,22752.04613144426,2024,3,11,22332.65
51,22505.3,22295.17191542723,22720.724554734323,2024,3,7,22493.55
52,22327.5,22119.904557370188,22537.00311871671,2024,3,6,22474.05
53,22371.25,22179.779704545042,22615.09068551058,2024,3,5,22356.30
54,22403.5,22179.248487644567,22641.651788517884,2024,3,4,22405.60
55,22406.95,22188.173914417977,22639.47095407526,2024,3,2,22378.40
56,22048.3,21844.722238699887,22312.16506723539,2024,3,1,22338.75
57,21935.2,21710.444457484293,22160.764840194563,2024,2,29,21982.80
58,22214.1,22026.183995501433,22429.881482214838,2024,2,28,21951.15
59,22090.2,21865.00530527107,22294.737064814246,2024,2,27,22198.35
60,22169.2,21987.523982305556,22406.994942633846,2024,2,26,22122.05
61,22290.0,22090.881838900837,22534.5431507428,2024,2,23,22212.70
62,22081.55,21878.41904406171,22313.477139033526,2024,2,22,22217.45
63,22248.85,22015.461381304944,22448.971036874635,2024,2,21,22055.05
64,22099.2,21857.558839483398,22298.252261858604,2024,2,20,22196.95
65,22103.45,21903.006008014654,22322.8198085052,2024,2,19,22122.25
66,22020.3,21796.58810388551,22244.58085149172,2024,2,16,22040.70
67,21906.55,21682.52030012218,22111.844553741448,2024,2,15,21910.75
68,21578.15,21400.266923357427,21811.87199863356,2024,2,14,21840.05
69,21664.3,21474.181178502193,21900.399433844188,2024,2,13,21743.25
70,21800.8,21601.577028101663,22006.755243573105,2024,2,12,21616.05
71,21727.0,21506.897760456133,21942.50020261921,2024,2,9,21782.50
72,22009.65,21807.076917633385,22257.526350684027,2024,2,8,21717.95
73,22045.05,21861.659759421833,22274.88525786949,2024,2,7,21930.50
74,21825.2,21590.223410178554,22022.442206463904,2024,2,6,21929.40
75,21921.05,21687.782954795133,22127.656075928397,2024,2,5,21771.70
76,21812.75,21601.19346849925,22020.738042929042,2024,2,2,21853.80
77,21780.65,21558.269197412337,21989.429021162287,2024,2,1,21697.45
78,21487.25,21310.832746505108,21724.318891767907,2024,1,31,21725.70
79,21775.75,21588.341968040862,22013.78449219232,2024,1,30,21522.10
80,21433.1,21252.857175778943,21650.553008457573,2024,1,29,21737.60
81,21454.6,21273.259809518135,21695.88487038005,2024,1,25,21352.60
82,21185.25,20985.072637039782,21391.149673383235,2024,1,24,21453.95
83,21716.7,21516.641580826574,21922.187777978397,2024,1,23,21238.80
